,Movie Title,Genre,IMDB Rating,Release Year,Director,Lead Star Cast,Synopsis,Mood
12,Looper,Thriller,5.5,2008,Stanley Kubrick,Christian Bale,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue.",this is the first of two
13,Scream,Horror,8.3,2010,Guillermo del Toro,Leonardo DiCaprio,A mesmerizing Horror story that explores the depths of human emotions and resilience.,a thriller
14,Star Wars: The Rise of Skywalker,Action,7.1,1983,Guillermo del Toro,Anne Hathaway,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.,"happy, sad, and filled with excitement. "
15,Gravity,Fantasy,5.8,2002,James Cameron,Tom Cruise,A blockbuster Fantasy masterpiece featuring a star-studded cast and breathtaking action sequences.,"well, we found out the full effects of this movie at the movie's unveiling on february 15."
16,Nobody,Action,7.3,1990,Bryan Singer,Will Smith,A mesmerizing Action story that explores the depths of human emotions and resilience.,"it's the story of anakin skywalker, a droid who came from a planet that was under the control of darth vader, but now the planet is under the control of a rebel force on a far-away planet. he had never met his old friend, the dathomir, and thus he can't believe that the dark side was ever brought to him and he decided that to prove to vader what was true he would send the empire across the desert to conquer him. this world is not his own, but his old apprentice who has gone missing, is fighting for his life to prove to vader what he always believed in, that it really is true. "
17,The Ring,Animation,8.8,2000,M. Night Shyamalan,Jennifer Lawrence,"A gripping tale of adventure and mystery, following a Animation journey like never before.",not rated
18,Bohemian Rhapsody,Romance,6.8,1992,Paul Thomas Anderson,Joaquin Phoenix,"A thrilling mix of Romance and action, packed with stunning visuals and unforgettable moments.","in a way, mastered is a fantastic adaptation of the classic novel by george r. r. martin, in which you're a girl with a penchant for weird, exotic women who are turned for work by magic women. as one of those girls, you have to run errands to escape people with powers.  you meet a strange stranger at a bar. you help him meet his fate.  but what if there's an important girl you can't meet due to being in the wrong place at the wrong time?  if they're women, they'll want you to help them with their quest to save their world from destruction by magic.  because this is the magic the people of ransom know they belong to.  mastered brings you a love story centered around a young female who is trapped at the border of the great world of ransom with a huge, crazy group of evil magic that she's trying to stop. now you play a role like a girl, who is also a girl in a different culture."
19,Dumbo,Romance,5.5,2006,Quentin Tarantino,Robert Downey Jr.,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.,"the screenplay may get mixed reviews here, but the most common response i get is the following: yes :) i was never on board with the idea of a romantic romance; the movie was just too good on its own. what the critics don't talk about is the fact that the author was probably not one that liked it. the film starts off strong as usual except for a little bit of the romance in the final scene which gets really bad throughout the movie when the world gets suddenly changed, with new technology and humans at war and new dangers to face as you're on the verge of a battle on the other side of the ocean. you don't like to look past it in the movie description as ""it takes place a century after the time of shakespeare, when things were different."" when you read the movie synopsis, you realize that the action scenes are really bad. i had to give credit to writer/director/editor jeff miller (who is credited here) for making the decision to change this one bit and to change something that could have been a beautiful picture but turns into a pretty bad one. i believe the reason for the film's weak rating is because of the dialogue, which i had seen in this movie before i turned 18 (one of those things you see when you watch it in theaters). one thing miller really does right in this movie is he provides us with some really interesting and dark stories. i love these things. the only main points here are the ""a"" part and there are still major scenes where i think the audience really feels like there's a sequel taking place. the only major scenes in the movie when i don't get the one i didn't like is when the story goes horribly wrong. this is not the same experience as at first, but it's better than nothing. all i can ask is ""did you enjoy the movie?"" if i see it again, i can count on it to give me a perfect rating. as i said, if the movie doesn't deserve an a+, i'm not sure i would give this one a pass in any of my other reviews. if you're in the market for one of these, feel free to contact me, comment below or email me on twitter"
20,Nobody,Comedy,6.1,2023,Guy Ritchie,Johnny Depp,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue.",the movie
21,Venom,Drama,5.2,1985,Guillermo del Toro,Charlize Theron,An intense Drama drama that keeps you on the edge of your seat.,(5)
22,John Wick: Chapter 4,Action,5.8,2020,M. Night Shyamalan,Benedict Cumberbatch,An intense Action drama that keeps you on the edge of your seat.,"good, exciting action, romance, suspense, suspenseful ending, etc.. midsummer nights."
23,Bambi,Drama,5.2,1983,David Fincher,Chris Hemsworth,An intense Drama drama that keeps you on the edge of your seat.,"""mood"" indicates the person who will take you on adventures. on the other hand, ""mood"" indicates a person who wants to see the world through a certain angle."
24,Wanted,Action,9.0,2007,J.J. Abrams,Benedict Cumberbatch,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.,"a classic thriller set on a world of the mind and fear that lies beneath one of the most feared cities in the universe, this novel is about the impact of the world's most potent, deadly and deadly drugs on people around the world."
25,Doctor Strange,Fantasy,5.9,2024,Patty Jenkins,Denzel Washington,An intense Fantasy drama that keeps you on the edge of your seat.,"happy, exhilarating, scary, fun, happy, suspenseful"
26,Scott Pilgrim vs. the World,Horror,7.9,2013,James Cameron,Matt Damon,An intense Horror drama that keeps you on the edge of your seat.,boring.
27,The Flash,Romance,9.5,1988,David Fincher,Robert Downey Jr.,A thought-provoking Romance film that challenges perceptions of reality.,rated t for sexual content.
28,Joker,Action,7.8,1992,Ridley Scott,Jake Gyllenhaal,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.,a love story between two of the best actors of their time.
29,The Thing,Drama,7.9,2006,Guillermo del Toro,Anne Hathaway,An intense Drama drama that keeps you on the edge of your seat.,"happy, relaxing, brave, daring, thrilling, fantasy, action /adventure, sci-fi"
30,Logan,Horror,7.9,1992,Peter Jackson,Jennifer Lawrence,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.,horror and violence
31,Harry Potter and the Deathly Hallows: Part 2,Drama,5.0,2006,Steven Spielberg,Denzel Washington,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.,"fancy, exciting, exciting, exciting"
32,The Old Guard,Romance,7.7,1995,Martin Scorsese,Joaquin Phoenix,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue.",strong
33,Cars 3,Horror,9.1,2017,Bryan Singer,Gal Gadot,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue.","happy, hopeful, sad, romantic"
34,Ex Machina,Fantasy,7.7,2018,Steven Spielberg,Angelina Jolie,A thought-provoking Fantasy film that challenges perceptions of reality.,"""stunning and inspiring. "
35,The Avengers,Horror,9.2,1987,Peter Jackson,Joaquin Phoenix,An intense Horror drama that keeps you on the edge of your seat.,8/10
36,Saving Private Ryan,Adventure,6.2,1996,Stanley Kubrick,Chris Pratt,An intense Adventure drama that keeps you on the edge of your seat.,"sad, scared, angry, afraid/worried"
37,Onward,Romance,5.7,2010,Spike Lee,Tom Hanks,An intense Romance drama that keeps you on the edge of your seat.,b-
38,Wall-E,Action,5.9,1991,Francis Ford Coppola,Natalie Portman,An intense Action drama that keeps you on the edge of your seat.,mostly disorientedly.  (out of 20)
39,Luca,Romance,9.5,2013,Coen Brothers,Scarlett Johansson,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.,"""jurassic world"" (u.s.): a movie filled with breathtakingly clever animation! "
40,Cars 2,Thriller,7.7,2008,Guy Ritchie,Jake Gyllenhaal,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments.","thriller, thriller, a good movie there's a story to a lot of movies, and good movies really are about movies, just that they're good movies, they're great movies. it's one of those great things to watch a movie on your own. also, even with the ""heroic"" quality, it becomes a character driven movie. the more amazing the characters are, the more the movies become exciting because they're so great, and it becomes exciting to watch these movies, because you get more and more action, and more horror, and more entertainment. "
41,Harry Potter and the Deathly Hallows: Part 2,Romance,5.0,1995,Martin Scorsese,Tom Cruise,A mesmerizing Romance story that explores the depths of human emotions and resilience.,a 4/5.
42,Soul,Comedy,8.9,2012,George Lucas,Daniel Day-Lewis,An intense Comedy drama that keeps you on the edge of your seat.,a thriller.
43,The Irishman,Fantasy,5.7,2008,James Cameron,Chris Hemsworth,"A gripping tale of adventure and mystery, following a Fantasy journey like never before.","'this makes people want to kill monsters and to save these monsters. it works, they feel happy, and they want to make an impression on each other and get to know each other.'"
44,The Fifth Element,Adventure,5.2,2003,Guillermo del Toro,Will Smith,An intense Adventure drama that keeps you on the edge of your seat.,7.5 (7+) rating: 5.3
45,Wonder Woman,Fantasy,7.8,2020,Coen Brothers,Viola Davis,"A gripping tale of adventure and mystery, following a Fantasy journey like never before.",b – romantic
46,Ratatouille,Comedy,6.1,2016,Guy Ritchie,Matt Damon,"A thrilling mix of Comedy and action, packed with stunning visuals and unforgettable moments.",beautiful for a movie.
47,X-Men: Apocalypse,Thriller,8.0,1993,Taika Waititi,Michael Fassbender,A mesmerizing Thriller story that explores the depths of human emotions and resilience.,"all characters use the same kanji, which are based on the same characters in many anime that make up this genre (like r:r, and a:a, but they're different, too)  as a rule, you should choose the worst words to use: ""shame, surprise,"" ""devilly."" also, don't use anything in such sentences with respect to your character or thoughts. "
48,American Psycho,Adventure,9.1,1995,Paul Thomas Anderson,Emma Stone,"A classic tale of love, loss, and redemption, set in a Adventure world of intrigue.","satisfaction • passion • excitement • the desire to find a piece of myself; to be in a new world—the adventure of discovery; the triumph of discovery over all the evils of it... but with so little to share, the adventure's only hope lies in a world without love. a world without meaning in the sense of, and affection and love, or love, or love, or hope... what is love? is it something between love and joy--something to stand by and share? is it true to a whole new way of being? or does it mean no love at all? or does it mean the worst? what is it? is it like the light of a torch: a darkness, a veil, whose ends only extend to the dark? as there exists no true light, love doesn't end. the only truth is that love is, in an individual, not a divine source. love is the ultimate mystery. a wonderful dream comes to light: it is a reality that only the soul can see. one who knows the truth can understand the emptiness of life, and he should seek the truth of love. the soul is one single person: a mystery, a mystery and love that, when combined, form a one life."
49,John Wick: Chapter 2,Comedy,7.9,2020,Patty Jenkins,Tom Cruise,An intense Comedy drama that keeps you on the edge of your seat.,2
50,Spider-Man: No Way Home,Comedy,9.0,1990,Denis Villeneuve,Denzel Washington,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue.",7/10 this is an amazing movie but it is one of the best made in the genre. 
51,Star Wars: The Last Jedi,Animation,6.8,2023,Taika Waititi,Joaquin Phoenix,"A thrilling mix of Animation and action, packed with stunning visuals and unforgettable moments.",high
52,2001: A Space Odyssey,Action,9.0,2011,Damien Chazelle,Keanu Reeves,A mesmerizing Action story that explores the depths of human emotions and resilience.,"happy, thrilling, scary, erotic."
53,Atomic Blonde,Thriller,8.0,1986,Ridley Scott,Scarlett Johansson,A mesmerizing Thriller story that explores the depths of human emotions and resilience.,bunnies love and bunnies: a beautiful dream
54,Iron Man,Comedy,6.7,2010,Peter Jackson,Chris Pratt,An intense Comedy drama that keeps you on the edge of your seat.,this movie really does have that feel. 
55,The Shawshank Redemption,Sci-Fi,8.7,1981,Guillermo del Toro,Chris Hemsworth,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before.",(from the reviews) 9/10
56,The Blair Witch Project,Fantasy,5.4,2013,Francis Ford Coppola,Anne Hathaway,"A classic tale of love, loss, and redemption, set in a Fantasy world of intrigue.",6.00/10
57,Zodiac,Fantasy,5.1,2018,Quentin Tarantino,Will Smith,A mesmerizing Fantasy story that explores the depths of human emotions and resilience.,focused on the emotions and emotions of one's companions (i.i).
58,Soul,Fantasy,7.6,1984,Peter Jackson,Jennifer Lawrence,"A thrilling mix of Fantasy and action, packed with stunning visuals and unforgettable moments.","8 (extremely unhealthy?) love interest: a female version of the japanese girl in this novel. (for those who have read the book with a japanese title, it might actually mean something different - but there's more information about the actual name of the character on the back page). "
59,Beauty and the Beast,Comedy,5.3,1991,Paul Thomas Anderson,Will Smith,An intense Comedy drama that keeps you on the edge of your seat.,"1. depressed, confused, angry, frustrated, pissed off, emotional, nervous, angry, disinhibited, and scared, feeling lost and confused. "
60,Annabelle,Animation,8.9,1984,Tim Burton,Joaquin Phoenix,"A gripping tale of adventure and mystery, following a Animation journey like never before.",casual
61,Sunshine,Fantasy,9.4,2020,M. Night Shyamalan,Chris Hemsworth,A thought-provoking Fantasy film that challenges perceptions of reality.,"not yet convinced why the real world is so boring, it's about to get really complicated when a couple gets transported back in time to the time of the first movie (1982). a lot has changed… but that's only half of it. the other half isn't quite as thrilling (especially compared with the first film), but it's also fun (and possibly more fun). "
62,Gravity,Sci-Fi,6.1,2023,Jon Favreau,Viola Davis,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments.",5 for 7
63,Toy Story 2,Comedy,6.2,1985,James Cameron,Emma Stone,"A gripping tale of adventure and mystery, following a Comedy journey like never before.",the mood is a romantic comedy that sees the joy of life on the streets of los angeles. 
64,Frozen II,Thriller,5.9,2003,Stanley Kubrick,Christian Bale,An intense Thriller drama that keeps you on the edge of your seat.,9 10/10 r r r r r r r r r r r r r r rated
65,Aladdin,Sci-Fi,6.8,1981,Bryan Singer,Anne Hathaway,An intense Sci-Fi drama that keeps you on the edge of your seat.,b+.
66,Glass Onion,Thriller,7.9,1996,Patty Jenkins,Viola Davis,An intense Thriller drama that keeps you on the edge of your seat.,"1. enjoyable 2. b+ 5. b+ 5. b+ an engaging thriller (and possibly also: a love letter to the movie!) a thrilling mystery a beautiful novel (as in ""love letter to the future""), a good novel, a great thriller"
67,Looper,Drama,5.9,1999,M. Night Shyamalan,Hugh Jackman,"A gripping tale of adventure and mystery, following a Drama journey like never before.",a combination of exhilarating and exciting? 
68,Brave,Comedy,5.1,1983,Francis Ford Coppola,Angelina Jolie,"A thrilling mix of Comedy and action, packed with stunning visuals and unforgettable moments.",curious or excited?
69,Dumbo,Comedy,9.5,2007,J.J. Abrams,Brad Pitt,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue.",happy (2017)
70,The Cabin in the Woods,Sci-Fi,9.4,1993,Spike Lee,Ryan Gosling,A mesmerizing Sci-Fi story that explores the depths of human emotions and resilience.,"""fantastic"""
71,The Fly,Fantasy,5.5,1991,George Lucas,Daniel Day-Lewis,A thought-provoking Fantasy film that challenges perceptions of reality.,"""fantasy is about real life and this kind of reality. and it's sad that it makes no difference. it makes all of the lives between the good and the bad about human experience. it is about what the person does. it is about that in which we are."""
72,Harry Potter and the Chamber of Secrets,Comedy,7.4,1980,Peter Jackson,Tom Cruise,An intense Comedy drama that keeps you on the edge of your seat.,"happy, thrilling, exciting. "
73,Moon,Thriller,6.2,2008,Steven Spielberg,Jennifer Lawrence,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue.","it reminds me of movies like ""gravity"" and ""cleveland."" i've even been told that these would likely have been written by someone who writes in american indian culture, because the language of the films, in particular, is very much american. i would imagine that people would like that to be true in many ways, but i'll leave this for another movie review."
74,Ratatouille,Thriller,5.4,1986,Taika Waititi,Chris Pratt,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue.",mild.
75,The Sixth Sense,Drama,5.9,2024,Taika Waititi,Charlize Theron,A thought-provoking Drama film that challenges perceptions of reality.,"favorable theater: 5.5 4.8 rating, 8+/-6"
76,The King's Man,Thriller,5.0,1992,Quentin Tarantino,Margot Robbie,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments.",this movie has a sweet ending as a result of being a romantic comedy.
77,E.T. the Extra-Terrestrial,Thriller,8.9,2013,Wes Anderson,Will Smith,A mesmerizing Thriller story that explores the depths of human emotions and resilience.,fantasy
78,The Conjuring,Horror,7.1,1994,J.J. Abrams,Matt Damon,A mesmerizing Horror story that explores the depths of human emotions and resilience.,"mostly silly, i feel like my heart is about to burst on top of my head. something is not right. my head hurts every day, and if i don't stop breathing, my body will fall backwards. why is it doing this? what caused it? what is i supposed to do about that? the question is my head is about to explode. what does it mean to become happy and healthy? this movie is the answer after two hours of watching this movie that has left me in tears and worried about the world. written by anonymous"
79,Dune,Action,9.0,2004,Greta Gerwig,Leonardo DiCaprio,An intense Action drama that keeps you on the edge of your seat.,"happy, energetic, energetic, thrilling, fun, thrilling, fun, interesting! i don't even know if you can call it a ""happy"" emotional drama or a ""fun"" emotional drama. what it is, that way, people in the audience will see my love for you. when i'm writing down all the feelings of a heart-felt story about a boy (i mean my own), i write down some characters and some themes that resonate with the audience. not just in my imagination but every time. these characters reflect the love and feelings of my own writer. so for me, they add a bit of ""wow"", a ""huh"", and a ""good"", all in one. this is not a story that is like a film with characters who are happy, happy, happy, happy, and happy. this is ""what is your heart worth?""  my personal favorite is the story of a girl named aya, who's at first happy with nothing but her love for you; but when you get to her sweetheart (gwen) who is sad, angry, and bitter when she finally meets her romantic heart. the heart's heart is in your heart. the emotional story isn't just about the story of aya (the girl is in a happy mood even though she's devastated by her ex. and how that is not really what she meant), it's about the love and love of a woman who's at first sad and angry but then happy.  it should also be the heart of most novels, which is why it's ""what makes you happy?""  what makes me happy is my favorite emotional story because it's about her, her ""soul""… and you know, about aya… and what that is and it reminds me of the heart of a person who is at first sad and angry but then filled with love & kindness and love & love, but then can see a little of her beauty through her own story and realize her true love. as someone who writes, she doesn't write with that sense of ""the love or the happiness that it brings""…  when aya sees the love of a guy who is not her heart (but her friend), she is"
80,Dumbo,Sci-Fi,8.0,2014,M. Night Shyamalan,Denzel Washington,A mesmerizing Sci-Fi story that explores the depths of human emotions and resilience.,"""happy!"" "
81,The Shining,Drama,5.7,2019,Stanley Kubrick,Angelina Jolie,"A gripping tale of adventure and mystery, following a Drama journey like never before.","fun, interesting, fascinating"
82,Harry Potter and the Sorcerer's Stone,Drama,9.4,2014,Damien Chazelle,Gal Gadot,A mesmerizing Drama story that explores the depths of human emotions and resilience.,"the opening is the most exciting part, but the ending is not so great. it has some weird things to do. but the movie has a great cast, it has amazing characters and has lots of surprises for you to read."
83,Children of Men,Sci-Fi,5.9,2003,Zack Snyder,Daniel Day-Lewis,An intense Sci-Fi drama that keeps you on the edge of your seat.,(1.8 stars)
84,The Hateful Eight,Romance,6.0,1981,Denis Villeneuve,Ryan Gosling,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.,"a perfect storm of love, betrayal, and tragedy."
85,Close Encounters of the Third Kind,Action,8.2,1993,James Cameron,Natalie Portman,An intense Action drama that keeps you on the edge of your seat.,"""welcoming to a place of life"" - for those of us who've been through something as difficult as surviving a violent situation."
86,Edge of Tomorrow,Action,8.3,2001,Francis Ford Coppola,Denzel Washington,"A gripping tale of adventure and mystery, following a Action journey like never before.","'valiant hearts', has nothing on the sex scene other than the fact that you don't have sex with your boyfriend. it's a romantic story, but it's not about your relationship with your boyfriend. "
87,Harry Potter and the Goblet of Fire,Comedy,5.7,2011,Stanley Kubrick,Anne Hathaway,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.,"very relaxing, happy, romance, confusion, excited, excited"
88,Ratatouille,Drama,7.4,1986,Alfred Hitchcock,Will Smith,A thought-provoking Drama film that challenges perceptions of reality.,"happy, exciting, entertaining, scary, emotional, thrilling, fun, or fantastical: a thought-provoking drama film that challenges perceptions of reality. the following synopsis is based on the movie description. if you enjoy watching a movie that features violence and suspense, then the black watch is suitable for you."
89,Looper,Romance,6.7,2022,Steven Spielberg,Jennifer Lawrence,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.,"happy, fun, thrilling, fun. "
90,No Country for Old Men,Adventure,6.5,2019,Christopher Nolan,Jennifer Lawrence,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.,sigh; wow yay!
91,The Thing,Drama,8.0,2010,Greta Gerwig,Keanu Reeves,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.,romance / thriller / adventure
92,The Blair Witch Project,Drama,7.1,2024,Robert Zemeckis,Daniel Day-Lewis,"A gripping tale of adventure and mystery, following a Drama journey like never before.",high; romance: focuses on a series of challenges; romance: casts on a series of characters.
93,Paranormal Activity,Horror,9.0,2003,Taika Waititi,Anne Hathaway,A thought-provoking Horror film that challenges perceptions of reality.,"good, sad."
94,Speed Racer,Action,6.8,1998,Stanley Kubrick,Jake Gyllenhaal,A mesmerizing Action story that explores the depths of human emotions and resilience.,"happy, thrilling, fun, or fantastical | content: 7"
95,John Wick,Horror,8.9,1995,Guy Ritchie,Jennifer Lawrence,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue.","love is the most violent idea in comics, and not the best. so much is at stake with every single character, even those that do not work very well. this is how the world works. the way it works is called the unbroken path. the world is not broken, it only gets bigger. this is how you can get better. this is why this is so very important-- because the unbroken path is the only path you can take. when you get to the end, you just know what you're in for. "
96,Harry Potter and the Deathly Hallows: Part 1,Thriller,7.4,2004,Christopher Nolan,Jennifer Lawrence,A thought-provoking Thriller film that challenges perceptions of reality.,"""the world seemed so scary in my head…"""
97,Gravity,Fantasy,6.9,2010,Robert Zemeckis,Denzel Washington,"A gripping tale of adventure and mystery, following a Fantasy journey like never before.","""what would that be? a crazy world where nobody knows, and you're told what to do, even if you haven't experienced it before."""
98,Speed Racer,Adventure,8.4,2017,Taika Waititi,Angelina Jolie,An intense Adventure drama that keeps you on the edge of your seat.,i think an 
99,American Psycho,Horror,6.9,2019,Guillermo del Toro,Charlize Theron,A thought-provoking Horror film that challenges perceptions of reality.,4: a strong and complex story. 4: the main character is the head of a band. it's only through the help of some friends that the group can progress through the day.
100,Marriage Story,Animation,5.6,1994,Damien Chazelle,Charlize Theron,"A thrilling mix of Animation and action, packed with stunning visuals and unforgettable moments.",5.
101,Blade Runner 2049,Animation,7.0,2011,Patty Jenkins,Michael Fassbender,A mesmerizing Animation story that explores the depths of human emotions and resilience.,mature
102,The Incredibles 2,Romance,5.1,2024,Martin Scorsese,Joaquin Phoenix,"A thrilling mix of Romance and action, packed with stunning visuals and unforgettable moments.","happy, thrilling, romantic, scary, fun, or fantastical"
103,Wonder Woman,Thriller,6.7,2004,David Fincher,Chris Pratt,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments.","it's hard to believe that anyone has ever seen any movie that won the grand slam. i was surprised that at some point, many people (especially my own wife) are saying we're done with this movie because it's so fucking terrible. it's all so damn good. we all know that, as well. it's horrible, it's just just so so fucking wrong. but we all know the answer: we love this movie. and we are going to do everything in our power to stop"
104,Encanto,Drama,8.3,2010,Paul Thomas Anderson,Charlize Theron,An intense Drama drama that keeps you on the edge of your seat.,1/10
105,Kingsman: The Golden Circle,Animation,7.3,2019,Paul Thomas Anderson,Chris Pratt,A mesmerizing Animation story that explores the depths of human emotions and resilience.,"boredom, emotionality, and loneliness are the main criteria for one to consider for the classification of the film. however, that is not the only criterion that can be used to determine mood and the story for the rest of the film. also, a variety of factors that may determine the mood may affect the pacing of the film, including that of the characters and in the form of mood. "
106,Wanted,Fantasy,7.2,1982,Zack Snyder,Benedict Cumberbatch,A mesmerizing Fantasy story that explores the depths of human emotions and resilience.,"it's funny to hear the story of how much the character's emotional state changes when he meets her. it might seem like a lot, but what happens around her makes her seem like an adult. it's a way to describe the world she lives in. the world she lives in makes her a ""normal.""  a normal with an abnormal mental state.  does it leave her feeling unhappy, helpless or unhappy, or does it help her keep her place on the world, which will change as she learns to deal with the trauma and troubles at the new, unique place. the world she inhabits is different in every way, but it makes sense in an extreme sense: in all that there are different shades of happy and unhappy.  a character who feels unhappy often finds peace and peace of mind. when she is happy she becomes more capable as a person, more confident in herself.  she keeps out of fear from things around her, especially from people who she thinks are evil.  she also likes to feel safe.  she also likes to trust and trust others with her life.  she isn't just a happy happy one, but a happy, joyful one. she is strong.  she is loyal and her family.  she loves to make others feel safe. in our world, we find that comfort by being able to talk our way out of bad situations.  we call that comfort, friendship or faith. while our world is broken, something can go wrong if we don't help ourselves and the world will go on. after spending our youth trying to find a way to change, our world is broken because we don't know what to do right now. how soon can we take on our own responsibility?  or do we take on someone else's responsibility and we're going to be bad for it?"
107,Big Hero 6,Romance,6.5,1984,Patty Jenkins,Denzel Washington,A thought-provoking Romance film that challenges perceptions of reality.,b
108,Django Unchained,Animation,5.8,2000,Bryan Singer,Emma Stone,An intense Animation drama that keeps you on the edge of your seat.,"mostly sad. what he sees is that his past life is far superior to his life in prison, and more dangerous."
109,Heat,Thriller,5.9,2020,Taika Waititi,Anne Hathaway,"A gripping tale of adventure and mystery, following a Thriller journey like never before.",beautiful. (2:15)
110,2001: A Space Odyssey,Animation,7.0,2003,Damien Chazelle,Chris Hemsworth,An intense Animation drama that keeps you on the edge of your seat.,soot
111,E.T. the Extra-Terrestrial,Adventure,8.0,2008,Coen Brothers,Jake Gyllenhaal,A mesmerizing Adventure story that explores the depths of human emotions and resilience.,"happy, emotional, suspense, romantic,"
112,Up,Fantasy,5.6,2000,Zack Snyder,Anne Hathaway,A thought-provoking Fantasy film that challenges perceptions of reality.,happy
113,The Flash,Action,8.5,2009,Robert Zemeckis,Scarlett Johansson,"A thrilling mix of Action and action, packed with stunning visuals and unforgettable moments.","this movie is not for those who hate the genre. it is not for the ones who will use it to achieve their goals. for us, this is an ideal combination of fun and the excitement that is made possible."
114,The Exorcist,Comedy,8.3,2009,George Lucas,Will Smith,An intense Comedy drama that keeps you on the edge of your seat.,7.4.
115,American Psycho,Action,9.3,2000,James Cameron,Natalie Portman,A mesmerizing Action story that explores the depths of human emotions and resilience.,"very emotional, dark, and violence, but that's not always the case here (except as i said) with the ending, and there's a good number of characters who are good in and out of movies, and you could watch the movie and find nothing out of the ordinary about them. the ending is a little weird, but that's ok."
116,Wall-E,Drama,9.0,2006,Denis Villeneuve,Matt Damon,A mesmerizing Drama story that explores the depths of human emotions and resilience.,happy
117,Snow White and the Seven Dwarfs,Sci-Fi,5.1,1982,Steven Spielberg,Benedict Cumberbatch,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments.","'n' happy, a beautiful, fun sci-fi-inspired film of adventure, romance, and dark humour (if you're a sci-fi big fella, the ending would be a bit boring at first, but your body's gonna dig in anyway). "
